project,approach,adjusted_p,p_value,a12
datam,finese,0.007458371694028122,0.007458371694028122,0.5509259259259259
datam,gpt2sp,0.0609445147875676,0.0609445147875676,0.53125
datam,deepse,8.46324385711191e-08,8.46324385711191e-08,0.5925925925925926
mesos,finese,0.03175480894356963,0.03175480894356963,0.6746987951807228
mesos,gpt2sp,0.042413492905101546,0.042413492905101546,0.6265060240963856
mesos,deepse,0.027989906688594187,0.027989906688594187,0.6506024096385542
talend,finese,0.52447509765625,0.52447509765625,0.4
talend,gpt2sp,0.359130859375,0.359130859375,0.7333333333333333
talend,deepse,0.0946044921875,0.0946044921875,0.26666666666666666
usergrid,finese,3.814697265625e-06,3.814697265625e-06,0.95
usergrid,gpt2sp,0.0023250579833984375,0.0023250579833984375,0.9
usergrid,deepse,5.7220458984375e-06,5.7220458984375e-06,0.95
